time,temperature_2m,relative_humidity_2m,AtmPressure,hour,month,corrected_temperature
2026-01-08 00:00:00,8.6,96,989.6,0,1,10.072566768448993
2026-01-08 01:00:00,8.2,97,989.4,1,1,10.181510148834475
2026-01-08 02:00:00,8.0,99,989.6,2,1,10.281806109118566
2026-01-08 03:00:00,7.8,99,989.9,3,1,9.602262329730546
2026-01-08 04:00:00,7.6,100,989.7,4,1,9.657743479974327
2026-01-08 05:00:00,7.7,99,990.3,5,1,9.353529575296589
2026-01-08 06:00:00,7.8,98,990.4,6,1,9.101813890936432
2026-01-08 07:00:00,7.7,97,991.0,7,1,9.006490288243718
2026-01-08 08:00:00,8.0,97,991.5,8,1,9.047263816587266
2026-01-08 09:00:00,8.5,95,992.7,9,1,9.529338702092373
2026-01-08 10:00:00,9.2,90,993.7,10,1,11.161636124219974
2026-01-08 11:00:00,10.0,87,993.6,11,1,12.706319885719891
2026-01-08 12:00:00,10.8,84,992.5,12,1,12.788388568975297
2026-01-08 13:00:00,11.5,83,991.6,13,1,12.895337041258442
2026-01-08 14:00:00,12.1,81,990.8,14,1,13.256938400882163
2026-01-08 15:00:00,12.3,81,990.1,15,1,13.694677838444532
2026-01-08 16:00:00,12.1,82,989.4,16,1,14.26241718037802
2026-01-08 17:00:00,11.6,83,989.3,17,1,13.615817478167832
2026-01-08 18:00:00,11.0,88,989.6,18,1,12.755360757767042
2026-01-08 19:00:00,10.6,90,990.0,19,1,12.436532404236143
2026-01-08 20:00:00,10.4,90,990.3,20,1,12.067771837330035
2026-01-08 21:00:00,10.2,91,990.7,21,1,11.44426478420299
2026-01-08 22:00:00,10.0,91,991.0,22,1,11.404598071339727
2026-01-08 23:00:00,9.9,92,991.0,23,1,11.40459807133973
2026-01-09 00:00:00,9.6,93,990.7,0,1,9.083640771867476
2026-01-09 01:00:00,9.5,93,990.7,1,1,9.079479313534144
2026-01-09 02:00:00,9.4,93,990.6,2,1,9.0653574700998
2026-01-09 03:00:00,9.2,91,990.3,3,1,9.12944028318015
2026-01-09 04:00:00,8.7,92,990.2,4,1,9.130344781357367
2026-01-09 05:00:00,8.2,93,990.4,5,1,8.972938365250771
2026-01-09 06:00:00,8.2,93,990.9,6,1,8.897754975181083
2026-01-09 07:00:00,8.2,92,991.3,7,1,8.891585836767412
2026-01-09 08:00:00,8.5,93,991.8,8,1,8.940695141574075
2026-01-09 09:00:00,10.0,89,992.6,9,1,9.441001476644214
2026-01-09 10:00:00,11.0,81,993.2,10,1,11.181444483661432
2026-01-09 11:00:00,11.9,78,992.9,11,1,12.855825859566194
2026-01-09 12:00:00,12.8,74,991.9,12,1,12.945448117624837
2026-01-09 13:00:00,13.6,71,991.0,13,1,13.220507061149704
2026-01-09 14:00:00,14.2,67,990.2,14,1,13.682421576958934
2026-01-09 15:00:00,14.2,66,989.6,15,1,14.306220359457054
2026-01-09 16:00:00,13.8,70,989.3,16,1,14.228639753079296
2026-01-09 17:00:00,12.6,80,989.3,17,1,13.754699638967502
2026-01-09 18:00:00,11.4,87,989.7,18,1,12.718253221090746
2026-01-09 19:00:00,10.6,91,989.5,19,1,12.490877536277512
2026-01-09 20:00:00,10.0,92,989.2,20,1,12.387873304077166
2026-01-09 21:00:00,9.5,94,989.2,21,1,12.344552441548494
2026-01-09 22:00:00,9.1,95,989.1,22,1,12.345912539933222
2026-01-09 23:00:00,8.7,96,988.9,23,1,12.358060284318462
2026-01-10 00:00:00,8.4,97,988.7,0,1,10.170989973171862
2026-01-10 01:00:00,8.1,98,988.6,1,1,10.171821674803565
2026-01-10 02:00:00,7.8,98,988.6,2,1,10.161270382114772
2026-01-10 03:00:00,7.6,99,988.5,3,1,10.337733220599823
2026-01-10 04:00:00,7.4,99,988.2,4,1,10.30596988194559
2026-01-10 05:00:00,7.1,100,988.2,5,1,10.30860912812134
2026-01-10 06:00:00,7.0,100,988.4,6,1,10.32487541054432
2026-01-10 07:00:00,6.9,100,988.8,7,1,10.419786529996816
2026-01-10 08:00:00,7.2,100,989.3,8,1,10.494627228106259
2026-01-10 09:00:00,8.9,95,990.3,9,1,9.752819331993305
2026-01-10 10:00:00,10.6,89,990.8,10,1,11.374747575104204
2026-01-10 11:00:00,12.2,86,990.5,11,1,13.62648320046636
2026-01-10 12:00:00,13.9,82,989.3,12,1,14.482709310706998
2026-01-10 13:00:00,14.7,78,988.4,13,1,14.894231336023253
2026-01-10 14:00:00,15.0,73,987.9,14,1,14.967291018990634
2026-01-10 15:00:00,14.6,69,987.5,15,1,14.917274879542049
2026-01-10 16:00:00,14.1,72,987.4,16,1,14.78253143900547
2026-01-10 17:00:00,12.8,80,987.7,17,1,14.21777772100737
2026-01-10 18:00:00,11.4,86,988.4,18,1,12.91634573506961
2026-01-10 19:00:00,10.6,90,988.8,19,1,12.541776596418757
2026-01-10 20:00:00,10.0,91,989.0,20,1,12.396757085260571
2026-01-10 21:00:00,9.4,93,989.4,21,1,12.347866942845805
2026-01-10 22:00:00,8.9,95,989.7,22,1,12.336492401938722
2026-01-10 23:00:00,8.6,96,990.0,23,1,12.28734878464078
2026-01-11 00:00:00,8.2,97,990.3,0,1,9.37657686075908
2026-01-11 01:00:00,8.0,98,990.8,1,1,9.254308083544927
2026-01-11 02:00:00,7.8,98,990.9,2,1,9.240186240110587
2026-01-11 03:00:00,7.5,98,990.6,3,1,9.168103406197705
2026-01-11 04:00:00,7.3,98,990.2,4,1,9.281556720224755
2026-01-11 05:00:00,7.1,98,990.1,5,1,9.273182061376657
2026-01-11 06:00:00,7.0,99,990.7,6,1,9.126683861650818
2026-01-11 07:00:00,6.8,99,991.0,7,1,9.13481597779856
2026-01-11 08:00:00,7.4,98,991.2,8,1,9.080564011878085
2026-01-11 09:00:00,9.2,93,991.9,9,1,9.487015653924372
2026-01-11 10:00:00,11.3,86,992.8,10,1,11.186991788960297
2026-01-11 11:00:00,13.0,81,992.2,11,1,12.891372915541039
2026-01-11 12:00:00,14.3,77,991.6,12,1,13.030573929099683
2026-01-11 13:00:00,15.2,75,990.7,13,1,13.511005136763195
2026-01-11 14:00:00,15.7,74,990.0,14,1,14.091131742392829
2026-01-11 15:00:00,15.4,75,989.5,15,1,14.387180363526438
2026-01-11 16:00:00,14.6,78,989.4,16,1,14.24238151244377
2026-01-11 17:00:00,13.7,81,989.2,17,1,13.846146227458668
2026-01-11 18:00:00,12.7,85,989.1,18,1,12.824076442200617
2026-01-11 19:00:00,11.7,90,989.2,19,1,12.507157554812217
2026-01-11 20:00:00,10.9,93,989.2,20,1,12.391217922132718
2026-01-11 21:00:00,10.4,94,989.0,21,1,12.356817730286846
2026-01-11 22:00:00,10.1,94,988.6,22,1,12.411729937592328
2026-01-11 23:00:00,9.8,94,988.2,23,1,12.519039149477036
2026-01-12 00:00:00,9.4,95,988.2,0,1,10.127862076154067
2026-01-12 01:00:00,9.1,97,988.4,1,1,10.098215957974624
2026-01-12 02:00:00,8.7,98,988.4,2,1,10.091364075250869
2026-01-12 03:00:00,8.4,99,988.2,3,1,10.294653717554429
2026-01-12 04:00:00,8.2,100,987.8,4,1,10.496546243964813
2026-01-12 05:00:00,8.1,100,987.7,5,1,10.50134331148589
2026-01-12 06:00:00,8.0,100,988.0,6,1,10.325742384141497
2026-01-12 07:00:00,8.1,100,988.5,7,1,10.376688875060127
2026-01-12 08:00:00,8.5,99,989.2,8,1,10.494627228106252
2026-01-12 09:00:00,9.4,96,989.7,9,1,10.171049798160183
2026-01-12 10:00:00,10.6,93,990.4,10,1,11.811616964058455
2026-01-12 11:00:00,11.7,89,990.6,11,1,13.365932170668383
2026-01-12 12:00:00,12.7,85,990.2,12,1,13.747163547265313
2026-01-12 13:00:00,13.6,81,989.5,13,1,14.461650006015962
2026-01-12 14:00:00,14.2,78,989.0,14,1,14.656065600099318
2026-01-12 15:00:00,14.1,78,988.8,15,1,14.696988864650434
2026-01-12 16:00:00,13.7,80,988.9,16,1,14.458668528192359
2026-01-12 17:00:00,13.1,82,989.0,17,1,13.937742580485306
2026-01-12 18:00:00,12.5,84,989.3,18,1,12.803655872968646
2026-01-12 19:00:00,11.8,87,989.6,19,1,12.499378983733921
2026-01-12 20:00:00,11.3,88,990.1,20,1,12.086770303596886
2026-01-12 21:00:00,11.2,87,990.4,21,1,12.03515278213754
2026-01-12 22:00:00,11.3,84,990.8,22,1,11.424949415712943
2026-01-12 23:00:00,11.3,82,991.1,23,1,11.410111447701029
2026-01-13 00:00:00,11.3,82,991.3,0,1,8.958796320413331
2026-01-13 01:00:00,11.2,83,991.4,1,1,8.954634862079995
2026-01-13 02:00:00,11.1,84,991.4,2,1,8.940513018645651
2026-01-13 03:00:00,10.8,85,991.2,3,1,8.874395662831063
2026-01-13 04:00:00,10.5,86,990.9,4,1,8.780973644696713
2026-01-13 05:00:00,10.2,88,990.8,5,1,8.81605831765414
2026-01-13 06:00:00,9.8,91,991.1,6,1,8.846194749480413
2026-01-13 07:00:00,9.4,95,991.5,7,1,8.88510744022183
2026-01-13 08:00:00,9.6,95,991.9,8,1,8.932056481507283
2026-01-13 09:00:00,10.8,89,992.2,9,1,9.426739287131655
2026-01-13 10:00:00,12.7,80,992.6,10,1,11.186006685212256
2026-01-13 11:00:00,14.2,73,992.6,11,1,12.865024346315131
2026-01-13 12:00:00,14.9,70,992.0,12,1,13.00956580265024
2026-01-13 13:00:00,15.3,69,991.0,13,1,13.342253237238305
2026-01-13 14:00:00,15.4,70,990.1,14,1,13.788093511295195
2026-01-13 15:00:00,15.0,72,989.6,15,1,14.336505055009725
2026-01-13 16:00:00,14.4,76,989.2,16,1,14.352511696726337
2026-01-13 17:00:00,13.6,80,989.0,17,1,13.922958747131158
2026-01-13 18:00:00,12.6,84,988.8,18,1,12.869487767034553
2026-01-13 19:00:00,11.6,88,988.8,19,1,12.546133291575455
2026-01-13 20:00:00,10.7,92,988.8,20,1,12.43019365889596
2026-01-13 21:00:00,10.1,94,988.7,21,1,12.416761851569555
2026-01-13 22:00:00,9.7,96,988.5,22,1,12.466750599887956
2026-01-13 23:00:00,9.4,97,988.4,23,1,12.451845921927022
2026-01-14 00:00:00,9.1,98,988.3,0,1,10.09733692729199
2026-01-14 01:00:00,8.8,99,988.1,1,1,10.301222896003287
2026-01-14 02:00:00,8.6,99,987.8,2,1,10.483251121899382
2026-01-14 03:00:00,8.3,100,987.2,3,1,10.536111511972273
2026-01-14 04:00:00,8.1,100,986.6,4,1,10.541569701005466
2026-01-14 05:00:00,8.0,100,986.2,5,1,10.54006135825394
2026-01-14 06:00:00,8.0,100,986.4,6,1,10.55719461427409
2026-01-14 07:00:00,8.1,100,986.9,7,1,10.584745885456611
2026-01-14 08:00:00,8.6,98,987.3,8,1,10.507661856711584
2026-01-14 09:00:00,9.7,94,987.7,9,1,11.077895137286125
2026-01-14 10:00:00,11.1,88,987.9,10,1,13.124478432978043
2026-01-14 11:00:00,12.3,84,987.8,11,1,14.909804224998322
2026-01-14 12:00:00,13.2,81,987.2,12,1,15.039328205677693
2026-01-14 13:00:00,14.0,80,986.1,13,1,15.066675737730757
2026-01-14 14:00:00,14.3,79,985.3,14,1,15.05461790667292
2026-01-14 15:00:00,14.2,80,984.9,15,1,14.980714217489986
2026-01-14 16:00:00,13.7,83,984.8,16,1,14.871125868812221
2026-01-14 17:00:00,13.2,85,984.9,17,1,14.272901652053177
2026-01-14 18:00:00,12.6,87,985.3,18,1,13.123666553506439
2026-01-14 19:00:00,12.0,88,985.8,19,1,12.777031766829886
2026-01-14 20:00:00,11.5,90,986.2,20,1,12.676366753628145
2026-01-14 21:00:00,11.1,91,986.4,21,1,12.637900250326418
2026-01-14 22:00:00,10.7,93,986.4,22,1,12.63139198943222
2026-01-14 23:00:00,10.3,94,986.3,23,1,12.63139198943222
